Layer ID,Layer Name,Layer Type,Parent,Section,Z-Index,Position X,Position Y,Width,Height,Opacity Start,Opacity End,Scale Start,Scale End,Translate X Start,Translate X End,Translate Y Start,Translate Y End,Rotation Start,Rotation End,Blur Start,Blur End,Delay (ms),Duration (ms),Easing,Animation Type,Loop,Notes
NAV-007,Profile Avatar,circle-image,NAV-001,Navigation,101,1860,8,36,36,0,1,0.7,1,0,0,0,0,0,0,0,0,280,300,cubic-bezier(0.16 1 0.3 1),scale-fade,false,User avatar with ring

NAV-010,Left Sidebar,container,root,Navigation,90,0,52,44,976,0,1,1,1,-44,0,0,0,0,0,0,0,100,400,cubic-bezier(0.16 1 0.3 1),slide-fade,false,Collapsed icon sidebar — slides in from left
NAV-011,Sidebar Icon 1,icon,NAV-010,Navigation,91,10,68,24,24,0,1,0.7,1,-10,0,0,0,0,0,0,0,200,250,ease-out,slide-scale,false,Home icon
NAV-012,Sidebar Icon 2,icon,NAV-010,Navigation,91,10,108,24,24,0,1,0.7,1,-10,0,0,0,0,0,0,0,240,250,ease-out,slide-scale,false,Layers icon
NAV-013,Sidebar Icon 3,icon,NAV-010,Navigation,91,10,148,24,24,0,1,0.7,1,-10,0,0,0,0,0,0,0,280,250,ease-out,slide-scale,false,Discover icon
NAV-014,Sidebar Icon 4,icon,NAV-010,Navigation,91,10,188,24,24,0,1,0.7,1,-10,0,0,0,0,0,0,0,320,250,ease-out,slide-scale,false,Portfolio icon
NAV-015,Sidebar Icon 5-14,icon-group,NAV-010,Navigation,91,10,228,24,480,0,1,0.7,1,-10,0,0,0,0,0,0,0,360,250,ease-out,stagger-slide,false,Remaining 10 nav icons — stagger 30ms each

# ── PHASE 2: TRENDING TICKER (200-600ms) ──────────────────────────────────

TICK-001,Ticker Strip Container,container,root,Ticker,50,44,52,1576,44,0,1,1,1,0,0,-6,0,0,0,0,0,200,400,cubic-bezier(0.16 1 0.3 1),slide-fade,false,Horizontal scrolling ticker bar
TICK-002,Ticker Item 1 (BTC),token-pill,TICK-001,Ticker,51,8,6,160,32,0,1,0.95,1,-30,0,0,0,0,0,0,0,250,300,cubic-bezier(0.16 1 0.3 1),slide-fade,false,BTC logo + price + sparkline
TICK-003,Ticker Item 2 (ETH),token-pill,TICK-001,Ticker,51,176,6,160,32,0,1,0.95,1,-30,0,0,0,0,0,0,0,290,300,cubic-bezier(0.16 1 0.3 1),slide-fade,false,ETH logo + price + sparkline
TICK-004,Ticker Item 3 (SOL),token-pill,TICK-001,Ticker,51,344,6,160,32,0,1,0.95,1,-30,0,0,0,0,0,0,0,330,300,cubic-bezier(0.16 1 0.3 1),slide-fade,false,SOL logo + price + sparkline
TICK-005,Ticker Items 4-10,token-pill-group,TICK-001,Ticker,51,512,6,1060,32,0,1,0.95,1,-30,0,0,0,0,0,0,0,370,300,cubic-bezier(0.16 1 0.3 1),stagger-slide,false,Remaining ticker items — stagger 40ms each
TICK-006,Ticker Scroll Animation,scroll-transform,TICK-001,Ticker,51,0,0,3000,32,1,1,1,1,-1500,0,0,0,0,0,0,0,0,30000,linear,marquee,true,Infinite left scroll marquee — 30s loop

# ── PHASE 2B: MARKET INDICATORS BAR (300-700ms) ──────────────────────────

MKT-001,Market Bar Container,container,root,MarketBar,60,44,96,1576,36,0,1,1,1,0,0,-4,0,0,0,0,0,300,350,cubic-bezier(0.16 1 0.3 1),slide-fade,false,BTC/SOL/ETH prices + FNG + Alt Season + Dominance
MKT-002,BTC Mini Price,text-badge,MKT-001,MarketBar,61,8,6,100,24,0,1,1,1,0,0,0,0,0,0,0,0,380,250,ease-out,fade-in,false,BTC — with live price
MKT-003,SOL Mini Price,text-badge,MKT-001,MarketBar,61,116,6,100,24,0,1,1,1,0,0,0,0,0,0,0,0,410,250,ease-out,fade-in,false,SOL — with live price
MKT-004,ETH Mini Price,text-badge,MKT-001,MarketBar,61,224,6,100,24,0,1,1,1,0,0,0,0,0,0,0,0,440,250,ease-out,fade-in,false,ETH — with live price
MKT-005,Fear & Greed Badge,status-badge,MKT-001,MarketBar,61,360,6,160,24,0,1,0.9,1,0,0,0,0,0,0,0,0,480,300,ease-out,scale-fade,false,FNG: 9 Extreme Fear — red accent
MKT-006,Alt Season Badge,status-badge,MKT-001,MarketBar,61,540,6,180,24,0,1,0.9,1,0,0,0,0,0,0,0,0,520,300,ease-out,scale-fade,false,Alt Season: 24 BTC Dominant
MKT-007,BTC Dominance,text,MKT-001,MarketBar,61,740,6,140,24,0,1,1,1,0,0,0,0,0,0,0,0,560,250,ease-out,fade-in,false,BTC.D: 56.0% ETH 10.0%
MKT-008,US Market Status,text-badge,MKT-001,MarketBar,61,900,6,100,24,0,1,1,1,0,0,0,0,0,0,0,0,600,250,ease-out,fade-in,false,US: Closed (red dot)

# ── PHASE 3: COMMAND CENTER (400-1200ms) ──────────────────────────────────

CMD-001,Command Center Container,container,root,CommandCenter,40,44,140,1276,400,0,1,1,1,0,0,10,0,0,0,0,0,400,500,cubic-bezier(0.16 1 0.3 1),slide-fade,false,Main content area with tabs
CMD-002,Command Center Header,text,CMD-001,CommandCenter,41,16,8,200,28,0,1,1,1,-15,0,0,0,0,0,0,0,450,350,cubic-bezier(0.16 1 0.3 1),slide-fade,false,"Command Center" title (Playfair Display)
CMD-003,Tab: AI Brief,tab-button,CMD-001,CommandCenter,42,200,8,80,28,0,1,0.95,1,0,0,0,0,0,0,0,0,500,250,ease-out,scale-fade,false,Active tab — green accent
CMD-004,Tab: AI Market,tab-button,CMD-001,CommandCenter,42,290,8,80,28,0,1,0.95,1,0,0,0,0,0,0,0,0,530,250,ease-out,scale-fade,false,Inactive tab
CMD-005,Tab: News,tab-button,CMD-001,CommandCenter,42,380,8,60,28,0,1,0.95,1,0,0,0,0,0,0,0,0,560,250,ease-out,scale-fade,false,Inactive tab
CMD-006,Tabs: Heatmaps-Wallets,tab-group,CMD-001,CommandCenter,42,450,8,400,28,0,1,0.95,1,0,0,0,0,0,0,0,0,590,250,ease-out,stagger-fade,false,Remaining 7 tabs — stagger 30ms

# ── PHASE 3B: AI BRIEF CONTENT (600-1600ms) ──────────────────────────────

BRIEF-001,AI Brief Card,glass-card,CMD-001,AIBrief,43,16,52,1244,320,0,1,0.98,1,0,0,20,0,0,0,6,0,600,600,cubic-bezier(0.16 1 0.3 1),blur-slide-fade,false,Glassmorphic content card — backdrop-blur(40px)
BRIEF-002,Brief Badge,badge,BRIEF-001,AIBrief,44,20,16,280,20,0,1,1,1,-10,0,0,0,0,0,0,0,700,300,ease-out,slide-fade,false,"SPECTRE AI INTELLIGENCE BRIEF" label (orange dot + caps)
BRIEF-003,LIVE Badge,pill,BRIEF-001,AIBrief,44,1050,16,50,20,0,1,0.8,1,0,0,0,0,0,0,0,0,800,250,cubic-bezier(0.16 1 0.3 1),scale-fade,false,Green LIVE pill — pulsing glow
BRIEF-004,Audio Player Button,circle-button,BRIEF-001,AIBrief,44,1108,12,32,32,0,1,0.7,1,0,0,0,0,0,0,0,0,850,300,cubic-bezier(0.16 1 0.3 1),scale-fade,false,Play triangle icon (ElevenLabs audio)
BRIEF-005,Brief Quote Text,text,BRIEF-001,AIBrief,44,80,80,1080,60,0,1,1,1,0,0,15,0,0,0,0,0,900,500,cubic-bezier(0.16 1 0.3 1),slide-fade,false,"Extreme fear. Range-bound. Patience over action." — Playfair Display italic 28px
BRIEF-006,Quote Marks Open,text-decoration,BRIEF-001,AIBrief,44,60,70,20,30,0,0.4,0.8,1,0,0,0,0,-5,0,0,0,850,400,ease-out,scale-rotate-fade,false,Left curly quote — gradient color
BRIEF-007,Quote Marks Close,text-decoration,BRIEF-001,AIBrief,44,1160,100,20,30,0,0.4,0.8,1,0,0,0,0,5,0,0,0,850,400,ease-out,scale-rotate-fade,false,Right curly quote — gradient color
BRIEF-008,Navigation Dots,dot-group,BRIEF-001,AIBrief,44,580,160,80,10,0,1,1,1,0,0,8,0,0,0,0,0,1050,300,ease-out,slide-fade,false,5 pagination dots (1st = red active)
BRIEF-009,Attribution Text,text,BRIEF-001,AIBrief,44,520,178,200,16,0,0.5,1,1,0,0,5,0,0,0,0,0,1100,300,ease-out,slide-fade,false,"— SPECTRE AI · just now" muted text
BRIEF-010,Fear & Greed Card,glass-card-sm,BRIEF-001,AIBrief,44,500,220,100,80,0,1,0.9,1,0,0,10,0,0,0,4,0,1200,400,cubic-bezier(0.16 1 0.3 1),blur-scale-fade,false,FNG score "9" + "Extreme Fear" label
BRIEF-011,Bias Card,glass-card-sm,BRIEF-001,AIBrief,44,612,220,100,80,0,1,0.9,1,0,0,10,0,0,0,4,0,1250,400,cubic-bezier(0.16 1 0.3 1),blur-scale-fade,false,"NEUTRAL" + "24-Hour" label

# ── PHASE 3C: BRIEF AUTO-ROTATE (perpetual after 1600ms) ─────────────────

BRIEF-020,Brief Text Crossfade,text-swap,BRIEF-001,AIBrief,44,80,80,1080,60,1,1,1,1,0,0,0,0,0,0,0,0,0,600,ease-in-out,crossfade,true,Text swaps every 12s — 600ms fade out/in. Final brief holds 30s

# ── PHASE 4: DISCOVERY TABLE (800-1800ms) ─────────────────────────────────

DISC-001,Category Tabs Container,container,root,Discovery,35,44,480,1276,44,0,1,1,1,0,0,8,0,0,0,0,0,800,400,cubic-bezier(0.16 1 0.3 1),slide-fade,false,Top Coins / On-Chain / Prediction Markets tabs
DISC-002,Tab: Top Coins,tab-button,DISC-001,Discovery,36,8,8,90,28,0,1,0.95,1,0,0,0,0,0,0,0,0,850,250,ease-out,scale-fade,false,Active tab
DISC-003,Tab: On-Chain,tab-button,DISC-001,Discovery,36,106,8,80,28,0,1,0.95,1,0,0,0,0,0,0,0,0,880,250,ease-out,scale-fade,false,Inactive tab
DISC-004,Tab: Prediction Markets,tab-button,DISC-001,Discovery,36,194,8,130,28,0,1,0.95,1,0,0,0,0,0,0,0,0,910,250,ease-out,scale-fade,false,Inactive tab

DISC-010,Filter Bar,container,root,Discovery,35,44,532,1276,36,0,1,1,1,0,0,6,0,0,0,0,0,950,350,cubic-bezier(0.16 1 0.3 1),slide-fade,false,Category pills + Timeframe selector
DISC-011,Category Pill: All,pill-button,DISC-010,Discovery,36,130,4,36,28,0,1,0.9,1,0,0,0,0,0,0,0,0,1000,200,ease-out,scale-fade,false,Active category pill (blue bg)
DISC-012,Category Pills Group,pill-group,DISC-010,Discovery,36,174,4,480,28,0,1,0.9,1,0,0,0,0,0,0,0,0,1040,250,ease-out,stagger-scale,false,DeFi / AI / Meme / RWA / Gaming / Privacy / NFT / Lending — stagger 25ms
DISC-013,Timeframe Selector,segmented-control,DISC-010,Discovery,36,800,4,280,28,0,1,0.9,1,0,0,0,0,0,0,0,0,1080,250,ease-out,scale-fade,false,All Time / 1h / 24h / 1w / 7d / 30d
DISC-014,View Toggle (List/Grid),icon-toggle,DISC-010,Discovery,36,1220,4,50,28,0,1,0.9,1,0,0,0,0,0,0,0,0,1100,200,ease-out,scale-fade,false,List vs Grid view icons

DISC-020,Table Header Row,table-header,root,Discovery,34,44,576,1276,36,0,1,1,1,0,0,4,0,0,0,0,0,1100,300,ease-out,slide-fade,false,# / NAME / PRICE / 24H% / 1W% / 30D% / 1Y% / MARKET CAP / VOLUME / LAST 7 DAYS

DISC-030,Token Row 1 (Bitcoin),table-row,root,Discovery,33,44,620,1276,48,0,1,1,1,0,0,12,0,0,0,0,0,1150,350,cubic-bezier(0.16 1 0.3 1),slide-fade,false,#1 BTC — logo + name + price + changes + mcap + vol + sparkline
DISC-031,Token Row 2 (Ethereum),table-row,root,Discovery,33,44,676,1276,48,0,1,1,1,0,0,12,0,0,0,0,0,1200,350,cubic-bezier(0.16 1 0.3 1),slide-fade,false,#2 ETH row
DISC-032,Token Row 3 (BNB),table-row,root,Discovery,33,44,732,1276,48,0,1,1,1,0,0,12,0,0,0,0,0,1250,350,cubic-bezier(0.16 1 0.3 1),slide-fade,false,#3 BNB row
DISC-033,Token Row 4 (SOL),table-row,root,Discovery,33,44,788,1276,48,0,1,1,1,0,0,12,0,0,0,0,0,1300,350,cubic-bezier(0.16 1 0.3 1),slide-fade,false,#4 SOL row
DISC-034,Token Rows 5-25,table-row-group,root,Discovery,33,44,844,1276,1100,0,1,1,1,0,0,12,0,0,0,0,0,1350,400,cubic-bezier(0.16 1 0.3 1),stagger-slide,false,Remaining 21 rows — stagger 40ms each

# ── PHASE 4B: TABLE ROW INTERNAL ELEMENTS (per row) ───────────────────────

ROW-001,Row: Rank Number,text,DISC-030,RowDetail,34,8,14,28,20,0,0.5,1,1,0,0,0,0,0,0,0,0,0,200,ease-out,fade-in,false,Muted rank number
ROW-002,Row: Token Logo,circle-image,DISC-030,RowDetail,34,44,8,32,32,0,1,0.8,1,0,0,0,0,0,0,0,0,50,250,cubic-bezier(0.16 1 0.3 1),scale-fade,false,Token logo with brand color ring
ROW-003,Row: Token Name,text,DISC-030,RowDetail,34,84,10,120,18,0,1,1,1,-8,0,0,0,0,0,0,0,80,200,ease-out,slide-fade,false,Token name (bold)
ROW-004,Row: Ticker Symbol,text,DISC-030,RowDetail,34,84,28,50,14,0,0.5,1,1,-8,0,0,0,0,0,0,0,100,200,ease-out,slide-fade,false,Symbol (muted) e.g. BTC
ROW-005,Row: Heart Icon,icon,DISC-030,RowDetail,34,140,14,16,16,0,0.3,1,1,0,0,0,0,0,0,0,0,120,150,ease-out,fade-in,false,Watchlist heart (appears on hover)
ROW-006,Row: Price,text-mono,DISC-030,RowDetail,34,380,14,100,20,0,1,1,1,0,0,0,0,0,0,0,0,100,200,ease-out,fade-in,false,Price in SF Mono — updates live (number counter)
ROW-007,Row: 24H Change,text-colored,DISC-030,RowDetail,34,520,14,70,20,0,1,1,1,0,0,0,0,0,0,0,0,120,200,ease-out,fade-in,false,Green (+) or Red (-) percentage
ROW-008,Row: Sparkline 7D,svg-chart,DISC-030,RowDetail,34,1180,8,80,32,0,1,1,1,0,0,0,0,0,0,0,0,180,300,ease-out,draw-in,false,SVG sparkline — path draws in (stroke-dashoffset animation)

# ── PHASE 5: WATCHLIST SIDEBAR (500-1200ms) ──────────────────────────────

WL-001,Watchlist Sidebar,container,root,Watchlist,80,1320,52,280,700,0,1,1,1,280,0,0,0,0,0,0,0,500,500,cubic-bezier(0.16 1 0.3 1),slide-in-right,false,Fixed right sidebar — slides in from right edge
WL-002,Watchlist Header,container,WL-001,Watchlist,81,16,12,248,28,0,1,1,1,20,0,0,0,0,0,0,0,700,300,ease-out,slide-fade,false,"My Watchlist" + "See All" link
WL-003,Search Input,input,WL-001,Watchlist,81,16,48,248,32,0,1,1,1,20,0,0,0,0,0,0,0,750,300,ease-out,slide-fade,false,"Search token to add..." + plus button
WL-004,Watchlist Item 1 (SOL),list-item,WL-001,Watchlist,81,8,92,264,52,0,1,0.98,1,30,0,0,0,0,0,0,0,850,350,cubic-bezier(0.16 1 0.3 1),slide-fade,false,SOL — Solana — $81.09 — +0.20% (green) — brand gradient bg
WL-005,Watchlist Item 2 (ARB),list-item,WL-001,Watchlist,81,8,152,264,52,0,1,0.98,1,30,0,0,0,0,0,0,0,900,350,cubic-bezier(0.16 1 0.3 1),slide-fade,false,ARB — Arbitrum — $0.1098 — +2.11%
WL-006,Watchlist Item 3 (DOGE),list-item,WL-001,Watchlist,81,8,212,264,52,0,1,0.98,1,30,0,0,0,0,0,0,0,950,350,cubic-bezier(0.16 1 0.3 1),slide-fade,false,DOGE — Dogecoin — $0.0936 — +4.54%
WL-007,Watchlist Item 4 (SPECTRE),list-item,WL-001,Watchlist,81,8,272,264,52,0,1,0.98,1,30,0,0,0,0,0,0,0,1000,350,cubic-bezier(0.16 1 0.3 1),slide-fade,false,SPECTRE — Spectre AI — $0.3978 — +12.51% (cyan glow)

# ── WATCHLIST ITEM INTERNALS (per item) ───────────────────────────────────

WLI-001,Item: Token Logo,circle-image,WL-004,WatchlistItem,82,12,10,32,32,0,1,0.8,1,0,0,0,0,0,0,0,0,0,250,cubic-bezier(0.16 1 0.3 1),scale-fade,false,Token logo with glow ring
WLI-002,Item: Token Name,text,WL-004,WatchlistItem,82,52,8,80,16,0,1,1,1,-6,0,0,0,0,0,0,0,50,200,ease-out,slide-fade,false,Token name (bold white)
WLI-003,Item: Token Subtitle,text,WL-004,WatchlistItem,82,52,26,80,12,0,0.5,1,1,-6,0,0,0,0,0,0,0,70,200,ease-out,slide-fade,false,Full name (muted)
WLI-004,Item: Price,text-mono,WL-004,WatchlistItem,82,196,8,68,16,0,1,1,1,6,0,0,0,0,0,0,0,80,200,ease-out,slide-fade,false,Price value (right-aligned)
WLI-005,Item: Change %,text-colored,WL-004,WatchlistItem,82,210,26,54,12,0,1,1,1,6,0,0,0,0,0,0,0,100,200,ease-out,slide-fade,false,Green/Red change percentage

# ── PHASE 6: AMBIENT LOOPS (perpetual) ────────────────────────────────────

LOOP-001,Sentiment Wall Breathing,opacity-scale,BG-003,Ambient,2,0,0,1920,1080,0.15,0.25,1,1.05,0,0,0,0,0,0,0,0,0,8000,ease-in-out,pulse,true,Ambient glow breathing — 8s loop
LOOP-002,Chart Canvas Breathing,transform,BG-002,Ambient,1,0,0,1920,1080,0.1,0.14,1,1.03,0,0,-3,3,0,0,0,0,0,6000,ease-in-out,vertical-breathe,true,Chart canvas vertical float — 6s
LOOP-003,Live Price Updates,number-counter,DISC-030,Ambient,34,380,14,100,20,1,1,1,1,0,0,0,0,0,0,0,0,0,500,ease-out,counter-tick,true,Live price number rollover — triggers on price change
LOOP-004,Ticker Marquee,translate-x,TICK-001,Ambient,51,0,0,3000,32,1,1,1,1,0,-1500,0,0,0,0,0,0,0,30000,linear,scroll-loop,true,Infinite horizontal scroll
LOOP-005,LIVE Badge Pulse,scale-glow,BRIEF-003,Ambient,44,0,0,50,20,0.8,1,0.95,1.05,0,0,0,0,0,0,0,0,0,2000,ease-in-out,pulse,true,LIVE pill glow + subtle scale
LOOP-006,Spectre Agent FAB,scale-glow,root,Ambient,200,1548,688,48,48,0.85,1,0.97,1.03,0,0,0,0,0,0,0,0,0,3000,ease-in-out,pulse,true,Bottom-right floating agent button — pulsing glow

# ── MICRO-INTERACTIONS (on hover/click) ───────────────────────────────────

HOVER-001,Token Row Hover,highlight,DISC-030,Interaction,34,0,0,1276,48,1,1,1,1,0,0,0,0,0,0,0,0,0,200,ease-out,bg-highlight,false,Row background brightens to rgba(255 255 255 0.04) + left accent bar appears
HOVER-002,Watchlist Item Hover,glow-scale,WL-004,Interaction,82,0,0,264,52,1,1,1,1.02,0,0,0,0,0,0,0,0,0,200,ease-out,scale-glow,false,Slight scale + brand glow increase + reveal pin/remove icons
HOVER-003,Tab Hover,underline,CMD-003,Interaction,42,0,0,80,28,1,1,1,1,0,0,0,0,0,0,0,0,0,150,ease-out,underline-slide,false,Active indicator slides under tab text
HOVER-004,Category Pill Hover,bg-shift,DISC-012,Interaction,36,0,0,60,28,1,1,1,1.05,0,0,0,0,0,0,0,0,0,150,ease-out,scale-bg,false,Background lightens + subtle scale
HOVER-005,Sidebar Icon Hover,tooltip-appear,NAV-011,Interaction,92,0,0,24,24,1,1,1,1.1,0,0,0,0,0,0,0,0,0,150,ease-out,scale-tooltip,false,Icon brightens + tooltip appears right

# ── COLOR PALETTE REFERENCE ───────────────────────────────────────────────

COLOR-001,Background Base,color-ref,—,Palette,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,#0a0a0f (near-black)
COLOR-002,Surface,color-ref,—,Palette,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,rgba(15 15 20 / 0.9) glassmorphic
COLOR-003,Border,color-ref,—,Palette,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,rgba(255 255 255 / 0.06)
COLOR-004,Text Primary,color-ref,—,Palette,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,#ffffff
COLOR-005,Text Muted,color-ref,—,Palette,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,rgba(255 255 255 / 0.5)
COLOR-006,Text Dim,color-ref,—,Palette,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,rgba(255 255 255 / 0.3)
COLOR-007,Accent Cyan,color-ref,—,Palette,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,#00f0ff (neon cyan)
COLOR-008,Accent Purple,color-ref,—,Palette,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,#a855f7 (brand purple)
COLOR-009,Positive Green,color-ref,—,Palette,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,#22c55e
COLOR-010,Negative Red,color-ref,—,Palette,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,#ef4444
COLOR-011,Warning Orange,color-ref,—,Palette,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,#f59e0b
COLOR-012,Sentiment Bull,color-ref,—,Palette,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,rgba(16 185 129 / 0.22) emerald glow
COLOR-013,Sentiment Bear,color-ref,—,Palette,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,rgba(185 28 28 / 0.22) crimson glow
COLOR-014,Glassmorphism Blur,effect-ref,—,Palette,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,backdrop-filter: blur(40px) saturate(1.5)

# ── TYPOGRAPHY REFERENCE ──────────────────────────────────────────────────

TYPE-001,Display / Headlines,font-ref,—,Typography,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,Playfair Display — serif italic — 24-32px — editorial hero text
TYPE-002,Body / Labels,font-ref,—,Typography,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,Inter — sans-serif — 11-14px — regular/medium weight
TYPE-003,Data / Numbers,font-ref,—,Typography,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,SF Mono — monospace — 12-18px — prices and percentages
TYPE-004,Micro Labels,font-ref,—,Typography,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,Inter — 9-10px — uppercase 1.5px letter-spacing — section labels

# ── EASING CURVES REFERENCE ──────────────────────────────────────────────

EASE-001,Spectre Smooth,easing-ref,—,Easing,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,cubic-bezier(0.16 1 0.3 1) — primary entrance easing (fast-in slow-out)
EASE-002,Gentle Out,easing-ref,—,Easing,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,ease-out — secondary transitions
EASE-003,Breathing,easing-ref,—,Easing,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,ease-in-out — ambient loop easing
EASE-004,Linear,easing-ref,—,Easing,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,linear — marquee / constant-speed scrolls
